Sentences,Label
"king vortigern the usurper sat upon his throne in london, when, suddenly, upon a certain day, ran in a breathless messenger, and cried aloud--  arise, lord king, for the enemy is come; even ambrosius and uther, upon whose throne thou sittest--and full twenty thousand with them--and they have sworn by a great oath, lord, to slay thee, ere this year be done; and even now they march towards thee as the north wind of winter for bitterness and haste",1
"at those words vortigern's face grew white as ashes, and, rising in confusion and disorder, he sent for all the best artificers and craftsmen and mechanics, and commanded them vehemently to go and build him straightway in the furthest west of his lands a great and strong castle, where he might fly for refuge and escape the vengeance of his master's sons--and, moreover, cried he, let the work be done within a hundred days from now, or i will surely spare no life amongst you all",1
"then all the host of craftsmen, fearing for their lives, found out a proper site whereon to build the tower, and eagerly began to lay in the foundations",1
"but no sooner were the walls raised up above the ground than all their work was overwhelmed and broken down by night invisibly, no man perceiving how, or by whom, or what",1
"and the same thing happening again, and yet again, all the workmen, full of terror, sought out the king, and threw themselves upon their faces before him, beseeching him to interfere and help them or to deliver them from their dreadful work",1
"filled with mixed rage and fear, the king called for the astrologers and wizards, and took counsel with them what these things might be, and how to overcome them",1
"the wizards worked their spells and incantations, and in the end declared that nothing but the blood of a youth born without mortal father, smeared on the foundations of the castle, could avail to make it stand",1
"messengers were therefore sent forthwith through all the land to find, if it were possible, such a child",1
"and, as some of them went down a certain village street, they saw a band of lads fighting and quarrelling, and heard them shout at one--avaunt, thou imp--avaunt",1
son of no mortal man,1
"go, find thy father, and leave us in peace",1
"at that the messengers looked steadfastly on the lad, and asked who he was",1
"one said his name was merlin; another, that his birth and parentage were known by no man; a third, that the foul fiend alone was his father",1
"hearing the things, the officers seized merlin, and carried him before the king by force",1
"but no sooner was he brought to him than he asked in a loud voice, for what cause he was thus dragged there",1
"my magicians, answered vortigern, told me to seek out a man that had no human father, and to sprinkle my castle with his blood, that it may stand",1
"order those magicians, said merlin, to come before me, and i will convict them of a lie",1
"the king was astonished at his words, but commanded the magicians to come and sit down before merlin, who cried to them--  because ye know not what it is that hinders the foundation of the castle, ye have advised my blood for a cement to it, as if that would avail; but tell me now rather what there is below that ground, for something there is surely underneath that will not suffer the tower to stand",1
"the wizards at these words began to fear, and made no answer",1
"then said merlin to the king--  i pray, lord, that workmen may be ordered to dig deep down into the ground till they shall come to a great pool of water",1
"this then was done, and the pool discovered far beneath the surface of the ground",1
"then, turning again to the magicians, merlin said, tell me now, false sycophants, what there is underneath that pool",1
--but they were silent,1
"then said he to the king, command this pool to be drained, and at the bottom shall be found two dragons, great and huge, which now are sleeping, but which at night awake and fight and tear each other",1
"at their great struggle all the ground shakes and trembles, and so casts down thy towers, which, therefore, never yet could find secure foundations",1
"the king was amazed at these words, but commanded the pool to be forthwith drained; and surely at the bottom of it did they presently discover the two dragons, fast asleep, as merlin had declared",1
but vortigern sat upon the brink of the pool till night to see what else would happen,1
"then those two dragons, one of which was white, the other red, rose up and came near one another, and began a sore fight, and cast forth fire with their breath",1
"but the white dragon had the advantage, and chased the other to the end of the lake",1
"and he, for grief at his flight, turned back upon his foe, and renewed the combat, and forced him to retire in turn",1
"but in the end the red dragon was worsted, and the white dragon disappeared no man knew where",1
"when their battle was done, the king desired merlin to tell him what it meant",1
"whereat he, bursting into tears, cried out this prophecy, which first foretold the coming of king arthur",1
"woe to the red dragon, which figureth the british nation, for his banishment cometh quickly; his lurkingholes shall be seized by the white dragon--the saxon whom thou, o king, hast called to the land",1
"the mountains shall be levelled as the valleys, and the rivers of the valleys shall run blood; cities shall be burned, and churches laid in ruins; till at length the oppressed shall turn for a season and prevail against the strangers",1
"for a boar of cornwall shall arise and rend them, and trample their necks beneath his feet",1
"the island shall be subject to his power, and he shall take the forests of gaul",1
"the house of romulus shall dread him--all the world shall fear him--and his end shall no man know; he shall be immortal in the mouths of the people, and his works shall be food to those that tell them",1
"but as for thee, o vortigern, flee thou the sons of constantine, for they shall burn thee in thy tower",1
"for thine own ruin wast thou traitor to their father, and didst bring the saxon heathens to the land",1
"aurelius and uther are even now upon thee to revenge their father's murder; and the brood of the white dragon shall waste thy country, and shall lick thy blood",1
"find out some refuge, if thou wilt",1
but who may escape the doom of god,1
"the king heard all this, trembling greatly; and, convicted of his sins, said nothing in reply",1
"only he hasted the builders of his tower by day and night, and rested not till he had fled thereto",1
"in the meantime, aurelius, the rightful king, was hailed with joy by the britons, who flocked to his standard, and prayed to be led against the saxons",1
"but he, till he had first killed vortigern, would begin no other war",1
"he marched therefore to cambria, and came before the tower which the usurper had built",1
"then, crying out to all his knights, avenge ye on him who hath ruined britain and slain my father and your king",1
he rushed with many thousands at the castle walls,1
"but, being driven back again and yet again, at length he thought of fire, and ordered blazing brands to be cast into the building from all sides",1
"these finding soon a proper fuel, ceased not to rage, till spreading to a mighty conflagration, they burned down the tower and vortigern within it",1
"then did aurelius turn his strength against hengist and the saxons, and, defeating them in many places, weakened their power for a long season, so that the land had peace",1
"anon the king, making many journeys to and fro, restoring ruined churches and, creating order, came to the monastery near salisbury, where all those british knights lay buried who had been slain there by the treachery of hengist",1
"for when in former times hengist had made a solemn truce with vortigern, to meet in peace and settle terms, whereby himself and all his saxons should depart from britain, the saxon soldiers carried every one of them beneath his garment a long dagger, and, at a given signal, fell upon the britons, and slew them, to the number of nearly five hundred",1
"the sight of the place where the dead lay moved aurelius to great sorrow, and he cast about in his mind how to make a worthy tomb over so many noble martyrs, who had died there for their country",1
"when he had in vain consulted many craftsmen and builders, he sent, by the advice of the archbishop, for merlin, and asked him what to do",1
"if you would honour the burying-place of these men, said merlin, with an everlasting monument, send for the giants' dance which is in killaraus, a mountain in ireland; for there is a structure of stone there which none of this age could raise without a perfect knowledge of the arts",1
"they are stones of a vast size and wondrous nature, and if they can be placed here as they are there, round this spot of ground, they will stand for ever",1
