Sentences,Label
"marco polo, had he confined himself to a sober narration of his travels, would have left to posterity a valuable record of the political institutions and national customs of the peoples of his day in the far east",0
"he was not satisfied with doing this, but added to his narrative a number of _on-dit_ more or less marvellous in character, which he collected from credulous or inventive persons with whom he came into contact, principally from mariners and from other travellers",0
"of these addenda to his story not one is more incredible than that of the rukh, and yet that addendum may be regarded as indicating the transition from the utterly incredible to the admixture of truth with fiction in bird-lore",0
"for, whilst the rukh possessed some characteristics which are utterly fabulous, others are credible enough",0
"we are told, for example, that it resembled an eagle, that it was carnivorous, that it possessed remarkable powers of flight, and that it visited islands which lay to the south of zanzibar, within the influence of an ocean current which rendered difficult or impossible a voyage from these regions to india, and which therefore must have tended in a southerly direction",0
in this current we have no difficulty in recognising that of mozambique,0
"on the other hand, that the rukh had an expanse of wing of thirty paces, and that it could lift an elephant in its talons, are of course utterly incredible assertions",0
"the rukh therefore holds a position in bird-lore intermediate between that of the phoenix and that of the pelican fed upon the blood of its mother whose beak is tipped with red, or that of the barnacle goose, of which the name suggests the mollusc,[1] the barnacle, and which was said to proceed from the mollusc or that of the bird of paradise, the feet of which were cut off by the malay traders who sold the skins, and which were commonly reported never to have had feet, but to float perpetually in the air",0
"thus two streams united into one floated the conception of the rukh--a mythological stream taking its rise from the simourgh of the persians and a stream of fact taking its rise in the observation of a real bird which visited certain islands off the south-east coast of africa, and which is said to have resembled an eagle and may have been a sea-eagle",0
with commendable reticence lexicographers tell us that 'rukh' was the name of a bird of mighty wing,0
"[1] ie, a fabulous mollusc; the barnacle is not now regarded as a       mollusc",0
the penguins and the seals of the angra de sam bràs   there exists an anonymous narrative of the first voyage of vasco da gama to india under the title _roteiro da viagem de vasco da gama em mccccxcvii_,0
"although it is called a roteiro, it is in fact a purely personal and popular account of the voyage, and does not contain either sailing directions or a systematic description of all the ports which were visited, as one might expect in a roteiro",0
there is no reason to believe that it was written by vasco da gama,0
an officer in such high authority would not be likely to write his narrative anonymously,0
the faulty and variable orthography of the roteiro also renders improbable the hypothesis that vasco da gama was the author,0
the journal of the first voyage of columbus contains many allusions to the birds which were seen in the course of it by the great discoverer,0
in this respect the roteiro of the first voyage of vasco da gama resembles it,0
"the journal of columbus is the earliest record of an important voyage of discovery which recognises natural history as an aid to navigators, the roteiro is the next",0
"the author of the roteiro notes that birds resembling large herons were seen in the month of august, 1497, at which time, i opine, the vessels of da gama were not far from the gulf of guinea, or were, perhaps, making their way across that gulf",0
"on the 27th of october, as the vessels approached the south-west coast of africa, whales and seals were encountered, and also 'quoquas'",0
'quoquas' is the first example of the eccentric orthography of our author,0
"'quoquas' is, no doubt, his manner of writing 'conchas,' that is to say 'shells'; the _til_ over the o is absent; perhaps that is a typographical error; probably the author wrote or intended to write quõquas",0
these shells may have been those of nautili,0
"on the 8th of november the vessels under the command of vasco da gama cast anchor in a wide bay which extended from east to west, and which was sheltered from all winds excepting that which blew from the north-west",0
"it was subsequently estimated that this anchorage was sixty leagues distant from the angra de sam bràs; and as the angra de sam bràs was estimated to be sixty leagues distant from the cape of good hope, the sheltered anchorage must have been in proximity to the cape",0
"the voyagers named it the angra de santa elena, and it may have been the bay which is now known as st helen's bay",0
but it is worthy of note that the g de sta,0
ellena of the cantino chart is laid down in a position which corresponds rather with that of table bay than with that of st helen's bay,0
the portuguese came into contact with the inhabitants of the country adjacent to the anchorage,0
"these people had tawny complexions, and carried wooden spears tipped with horn--assagais of a kind--and bows and arrows",0
they also used foxes' tails attached to short wooden handles,0
we are not informed for what purposes the foxes' tails were used,0
"were they used to brush flies away, or were they insignia of authority",0
"the food of the natives was the flesh of whales, seals, and antelopes (gazellas), and the roots of certain plants",0
crayfish or 'cape lobsters' abounded near the anchorage,0
"the author of the roteiro affirms that the birds of the country resembled the birds in portugal, and that amongst them were cormorants, larks, turtle-doves, and gulls",0
"the gulls are called 'guayvotas,' but 'guayvotas' is probably another instance of the eccentric orthography of the author and equivalent to 'gaivotas'",0
"in december the squadron reached the angra de são bràs, which was either mossel bay or another bay in close proximity to mossel bay",0
here penguins and seals were in great abundance,0
"the author of the roteiro calls the penguins 'sotelycairos,' which is more correctly written 'sotilicarios' by subsequent writers",0
"the word is probably related to the spanish _sotil_ and the latin _subtilis_, and may contain an allusion to the supposed cunning of the penguins, which disappear by diving when an enemy approaches",0
"the sotilicarios, says the chronicler, could not fly because there were no quill-feathers in their wings; in size they were as large as drakes, and their cry resembled the braying of an ass",0
"castanheda, goes, and osorio also mention the sotilicario in their accounts of the first voyage of vasco da gama, and compare its flipper to the wing of a bat--a not wholly inept comparison, for the under-surface of the wings of penguins is wholly devoid of feathery covering",0
"manuel de mesquita perestrello, who visited the south coast of africa in 1575, also describes the cape penguin",0
