Sentences,Label
"   come with me, ladies and gentlemen who are in any wise weary of london: come with me: and those that tire at all of the world we know: for we have new worlds here",1
"in the morning of his two hundred and fiftieth year shepperalk the centaur went to the golden coffer, wherein the treasure of the centaurs was, and taking from it the hoarded amulet that his father, jyshak, in the years of his prime, had hammered from mountain gold and set with opals bartered from the gnomes, he put it upon his wrist, and said no word, but walked from his mother's cavern",1
"and he took with him too that clarion of the centaurs, that famous silver horn, that in its time had summoned to surrender seventeen cities of man, and for twenty years had brayed at star-girt walls in the siege of tholdenblarna, the citadel of the gods, what time the centaurs waged their fabulous war and were not broken by any force of arms, but retreated slowly in a cloud of dust before the final miracle of the gods that they brought in their desperate need from their ultimate armoury",1
"he took it and strode away, and his mother only sighed and let him go",1
"she knew that today he would not drink at the stream coming down from the terraces of varpa niger, the inner land of the mountains, that today he would not wonder awhile at the sunset and afterwards trot back to the cavern again to sleep on rushes pulled by rivers that know not man",1
"she knew that it was with him as it had been of old with his father, and with goom the father of jyshak, and long ago with the gods",1
therefore she only sighed and let him go,1
"but he, coming out from the cavern that was his home, went for the first time over the little stream, and going round the corner of the crags saw glittering beneath him the mundane plain",1
"and the wind of the autumn that was gilding the world, rushing up the slopes of the mountain, beat cold on his naked flanks",1
he raised his head and snorted,1
i am a man-horse now,1
"he shouted aloud; and leaping from crag to crag he galloped by valley and chasm, by torrent-bed and scar of avalanche, until he came to the wandering leagues of the plain, and left behind him for ever the athraminaurian mountains",1
"his goal was zretazoola, the city of sombelenë",1
"what legend of sombelenë's inhuman beauty or of the wonder of her mystery had ever floated over the mundane plain to the fabulous cradle of the centaurs' race, the athraminaurian mountains, i do not know",1
"yet in the blood of man there is a tide, an old sea-current rather, that is somehow akin to the twilight, which brings him rumours of beauty from however far away, as driftwood is found at sea from islands not yet discovered: and this spring-tide of current that visits the blood of man comes from the fabulous quarter of his lineage, from the legendary, the old; it takes him out to the woodlands, out to the hills; he listens to ancient song",1
"so it may be that shepperalk's fabulous blood stirred in those lonely mountains away at the edge of the world to rumours that only the airy twilight knew and only confided secretly to the bat, for shepperalk was more legendary even than man",1
