Sentences,Label
the time has now come to pluck up courage and begin to talk and write soberly about the war,0
"at first the mere horror of it stunned the more thoughtful of us; and even now only those who are not in actual contact with or bereaved relation to its heartbreaking wreckage can think sanely about it, or endure to hear others discuss it coolly",0
"as to the thoughtless, well, not for a moment dare i suggest that for the first few weeks they were all scared out of their wits; for i know too well that the british civilian does not allow his perfect courage to be questioned; only experienced soldiers and foreigners are allowed the infirmity of fear",0
but they certainly were--shall i say a little upset,0
they felt in that solemn hour that england was lost if only one single traitor in their midst let slip the truth about anything in the universe,0
it was a perilous time for me,0
i do not hold my tongue easily; and my inborn dramatic faculty and professional habit as a playwright prevent me from taking a one-sided view even when the most probable result of taking a many-sided one is prompt lynching,0
"besides, until home rule emerges from its present suspended animation, i shall retain my irish capacity for criticising england with something of the detachment of a foreigner, and perhaps with a certain slightly malicious taste for taking the conceit out of her",0
lord kitchener made a mistake the other day in rebuking the irish volunteers for not rallying faster to the defense of their country,0
they do not regard it as their country yet,0
he should have asked them to come forward as usual and help poor old england through a stiff fight,0
then it would have been all right,0
"having thus frankly confessed my bias, which you can allow for as a rifleman allows for the wind, i give my views for what they are worth",0
"they will be of some use; because, however blinded i may be by prejudice or perversity, my prejudices in this matter are not those which blind the british patriot, and therefore i am fairly sure to see some things that have not yet struck him",0
"and first, i do not see this war as one which has welded governments and peoples into complete and sympathetic solidarity as against the common enemy",0
i see the people of england united in a fierce detestation and defiance of the views and acts of prussian junkerism,0
"and i see the german people stirred to the depths by a similar antipathy to english junkerism, and anger at the apparent treachery and duplicity of the attack made on them by us in their extremest peril from france and russia",0
"i see both nations duped, but alas",0
"not quite unwillingly duped, by their junkers and militarists into wreaking on one another the wrath they should have spent in destroying junkerism and militarism in their own country",0
and i see the junkers and militarists of england and germany jumping at the chance they have longed for in vain for many years of smashing one another and establishing their own oligarchy as the dominant military power in the world,0
"no doubt the heroic remedy for this tragic misunderstanding is that both armies should shoot their officers and go home to gather in their harvests in the villages and make a revolution in the towns; and though this is not at present a practicable solution, it must be frankly mentioned, because it or something like it is always a possibility in a defeated conscript army if its commanders push it beyond human endurance when its eyes are opening to the fact that in murdering its neighbours it is biting off its nose to vex its face, besides riveting the intolerable yoke of militarism and junkerism more tightly than ever on its own neck",0
"but there is no chance--or, as our junkers would put it, no danger--of our soldiers yielding to such an ecstasy of common sense",0
"they have enlisted voluntarily; they are not defeated nor likely to be; their communications are intact and their meals reasonably punctual; they are as pugnacious as their officers; and in fighting prussia they are fighting a more deliberate, conscious, tyrannical, personally insolent, and dangerous militarism than their own",0
"still, even for a voluntary professional army, that possibility exists, just as for the civilian there is a limit beyond which taxation, bankruptcy, privation, terror, and inconvenience cannot be pushed without revolution or a social dissolution more ruinous than submission to conquest",0
"i mention all this, not to make myself wantonly disagreeable, but because military persons, thinking naturally that there is nothing like leather, are now talking of this war as likely to become a permanent institution like the chamber of horrors at madame tussaud's, forgetting, i think, that the rate of consumption maintained by modern military operations is much greater relatively to the highest possible rate of production maintainable under the restrictions of war time than it has ever been before",0
*the day of judgment,0
"*  the european settlement at the end of the war will be effected, let us hope, not by a regimental mess of fire-eaters sitting around an up-ended drum in a vanquished berlin or vienna, but by some sort of congress in which all the powers (including, very importantly, the united states of america) will be represented",0
"now i foresee a certain danger of our being taken by surprise at that congress, and making ourselves unnecessarily difficult and unreasonable, by presenting ourselves to it in the character of injured innocence",0
we shall not be accepted in that character,0
"such a congress will most certainly regard us as being, next to the prussians (if it makes even that exception), the most quarrelsome people in the universe",0
"i am quite conscious of the surprise and scandal this anticipation may cause among my more highminded (_hochnaesig_, the germans call it) readers",0
"let me therefore break it gently by expatiating for a while on the subject of junkerism and militarism generally, and on the history of the literary propaganda of war between england and potsdam which has been going on openly for the last forty years on both sides",0
i beg the patience of my readers during this painful operation,0
"if it becomes unbearable, they can always put the paper down and relieve themselves by calling the kaiser attila and mr keir hardie a traitor twenty times or so",0
"then they will feel, i hope, refreshed enough to resume",0
"for, after all, abusing the kaiser or keir hardie or me will not hurt the germans, whereas a clearer view of the political situation will certainly help us",0
"besides, i do not believe that the trueborn englishman in his secret soul relishes the pose of injured innocence any more than i do myself",0
he puts it on only because he is told that it is respectable,0
*junkers all,0
*  what is a junker,0
"is it a german officer of twenty-three, with offensive manners, and a habit of cutting down innocent civilians with his sabre",0
sometimes; but not at all exclusively that or anything like that,0
let us resort to the dictionary,0
i turn to the _encyclopaedisches woerterbuch_ of muret sanders,0
excuse its quaint german-english,0
"*junker* = young nobleman, younker, lording, country squire, country gentleman, squirearch",0
"*junkerberrschaft* = squirearchy, landocracy",0
"*junkerleben* = life of a country gentleman, (_figuratively_) a jolly life",0
*junkerpartei* = country party,0
*junkerwirtschaft* = doings of the country party,0
thus we see that the junker is by no means peculiar to prussia,0
we may claim to produce the article in a perfection that may well make germany despair of ever surpassing us in that line,0
"sir edward grey is a junker from his topmost hair to the tips of his toes; and sir edward is a charming man, incapable of cutting down even an opposition front bencher, or of telling a german he intends to have him shot",0
lord cromer is a junker,0
mr winston churchill is an odd and not disagreeable compound of junker and yankee: his frank anti-german pugnacity is enormously more popular than the moral babble (milton's phrase) of his sanctimonious colleagues,0
"he is a bumptious and jolly junker, just as lord curzon is an uppish junker",0
i need not string out the list,0
in these islands the junker is literally all over the shop,0
"it is very difficult for anyone who is not either a junker or a successful barrister to get into an english cabinet, no matter which party is in power, or to avoid resigning when we strike up the drum",0
the foreign office is a junker club,0
our governing classes are overwhelmingly junker: all who are not junkers are riff-raff whose only claim to their position is the possession of ability of some sort: mostly ability to make money,0
