Sentences,Label
"it is said with truth that every building is constructed stone by stone, and the same may be said of  knowledge, extracted and compiled by many learned men, each of whom builds upon the works of  those who preceded him what one of them does not know is known to another, and little remains  truly unknown if one seeks far enough",1
"now i, maester yandel, take my turn as mason, carving what i  know to place one more stone in the great bastion of knowledge that has been built over the centuries  both within and without the confines of the citadel — a bastion raised by countless hands that came  before, and which will, no doubt, continue to rise with the aid of countless hands yet to come",1
"i was a foundling from my birth in the tenth year of the reign of the last targaryen king, left on a  morning in an empty stall in the scribe's hearth, where acolytes practiced the art of letters for those  who had need",1
"the course of my life was set that day, when i was found by an acolyte who took me to  the seneschal of that year, archmaester edgerran",1
"edgerran, whose ring and rod and mask were  silver, looked upon my squalling face and announced that i might prove of use",1
"when first told this as  a boy, i took it to mean he foresaw my destiny as a maester; only much later did i come to learn from  archmaester ebrose that edgerran was writing a treatise on the swaddling of infants and wished to  test certain theories",1
"but inauspicious as that may seem, the result was that i was given to the care of servants and  received the occasional attention of maesters",1
"i was raised as a servant myself amongst the halls and  chambers and libraries, but i was given the gift of letters by archmaester walgrave",1
"thus did i come  to know and love the citadel and the knights of the mind who guarded its precious wisdom i desired  nothing more than to become one of them — to read of far places and long-dead men, to gaze at the  stars and measure the passing of the seasons",1
and so i did,1
"i forged the first link in my chain at three-and-ten, and other links followed",1
"i  completed my chain and took my oaths in the ninth year of the reign of king robert, the first of his  name, and found myself blessed to continue at the citadel, to serve the archmaesters and aid them in  all that they did",1
"it was a great honor, but my greatest desire was to create a work of mine own, a  work that humble but lettered men might read — and read to their wives and children — so that they  would learn of things both good and wicked, just and unjust, great and small, and grow wiser as i had  grown wiser amidst the learning of the citadel",1
"and so i set myself to work once more at my forge, to  make new and notable matter around the masterworks of the long-dead maesters who came before me",1
"what follows herein sprang from that desire: a history of deeds gallant and wicked, peoples familiar  and strange, and lands near and far",1
"is it forty thousand years old, as  some hold, or perhaps a number as large as five hundred thousand — or even more",1
"it is not written in  any book that we know, for in the first age of the world, the dawn age, men were not lettered",1
"we can be certain that the world was far more primitive, however — a barbarous place of tribes  living directly from the land with no knowledge of the working of metal or the taming of beasts",1
"what  little is known to us of those days is contained in the oldest of texts: the tales written down by the  andals, by the valyrians, and by the ghiscari, and even by those distant people of fabled asshai",1
"yet  however ancient those lettered races, they were not even children during the dawn age",1
"so what  truths their tales contain are difficult to find, like seeds among chaff",1
what can most accurately be told about the dawn age,1
"the eastern lands were awash with many  peoples — uncivilized, as all the world was uncivilized, but numerous",1
"but on westeros, from the  lands of always winter to the shores of the summer sea, only two peoples existed: the children of  the forest and the race of creatures known as the giants",1
"of the giants in the dawn age, little and less can be said, for no one has gathered their tales, their  legends, their histories",1
"men of the watch say the wildlings have tales of the giants living uneasily  alongside the children, ranging where they would and taking what they wanted",1
"all the accounts claim  that they were huge and powerful creatures, but simple",1
"reliable accounts from the rangers of the  night's watch, who were the last men to see the giants while they still lived, state that they were  covered in a thick fur rather than simply being very large men as the nursery tales hold",1
"there is considerable evidence of burials among the giants, as recorded in maester kennet's  passages of the dead — a study of the barrow fields and graves and tombs of the north in his time of  service at winterfell, during the long reign of cregan stark",1
"from bones that have been found in the  north and sent to the citadel, some maesters estimate that the largest of the giants could reach  fourteen feet, though others say twelve feet is nearer the truth",1
"the tales of long-dead rangers written  down by maesters of the watch all agree that the giants did not make homes or garments, and knew of  no better tools or weapons than branches pulled from trees",1
"the archives of the citadel contain a letter from maester aemon, sent in the early years of  the reign of aegon y which reports on an account from a ranger named redwyn, written in  the days of king dorren stark",1
"it recounts a journey to lorn point and the frozen shore, in  which it is claimed that the ranger and his companions fought giants and traded with the  children of the forest",1
"aemon's letter claimed that he had found many such accounts in his  examinations of the archives of the watch at castle black, and considered them credible",1
"the giants had no kings and no lords, made no homes save in caverns or beneath tall trees, and they  worked neither metal nor fields",1
"they remained creatures of the dawn age even as the ages passed    them by, men grew ever more numerous, and the forests were tamed and dwindled",1
"now the giants  are gone even in the lands beyond the wall, and the last reports of them are more than a hundred years  old",1
and even those are dubious — tales that rangers of the watch might tell over a warm fire,1
"the children of the forest were, in many ways, the opposites of the giants",1
"as small as children but  dark and beautiful, they lived in a manner we might call crude today, yet they were still less  barbarous than the giants",1
"they worked no metal, but they had great art in working obsidian (what the  smallfolk call dragonglass, while the valyrians knew it by a word meaning frozen fire) to make  tools and weapons for hunting",1
they wove no cloths but were skilled in making garments of leaves  and bark,1
"they learned to make bows of weirwood and to construct flying snares of grass, and both of  the sexes hunted with these",1
"their song and music was said to be as beautiful as they were, but what they sang of is not  remembered save in small fragments handed down from ancient days",1
"maester childer's winter's  kings, or the legends and lineages of the starks of winterfell contains a part of a ballad alleged to  tell of the time brandon the builder sought the aid of the children while raising the wall",1
"he was  taken to a secret place to meet with them, but could not at first understand their speech, which was  described as sounding like the song of stones in a brook, or the wind through leaves, or the rain upon  the water",1
"the manner in which brandon learned to comprehend the speech of the children is a tale in  itself, and not worth repeating here",1
"but it seems clear that their speech originated, or drew  inspiration from, the sounds they heard every day",1
the gods the children worshipped were the nameless ones that would one day become the gods of  the first men — the innumerable gods of the streams and forests and stones,1
"it was the children who  carved the weirwoods with faces, perhaps to give eyes to their gods so that they might watch their  worshippers at their devotions",1
"others, with little evidence, claim that the greenseers — the wise men  of the children — were able to see through the eyes of the carved weirwoods",1
"the supposed proof is  the fact that the first men themselves believed this; it was their fear of the weirwoods spying upon  them that drove them to cut down many of the carved trees and weirwood groves, to deny the children  such an advantage",1
"yet the first men were less learned than we are now, and credited things that their  descendants today do not; consider maester yorrick's wed to the sea, being an account of the  history of white harbor from its earliest days, which recounts the practice of blood sacrifice to  the old gods",1
"such sacrifices persisted as recently as five centuries ago, according to accounts from  maester yorrick's predecessors at white harbor",1
but mayhaps some of the feats of the greenseers have more to do with foolish  tales than truth,1
"they could not change their forms into those of beasts, as some would have it, but it  seems true that they were capable of communicating with animals in a way that we cannot now  achieve; it is from this that legends of skinchangers, or beastlings, arose",1
"in truth, the legends of the skinchangers are many, but the most common — brought from beyond the  wall by men of the night's watch, and recorded at the wall by septons and maesters of centuries past  — hold that the skinchangers not only communicated with beasts, but could control them by having  their spirits mingle",1
"even among the wildlings, these skinchangers were feared as unnatural men who  could call on animals as allies",1
"some tales speak of skinchangers losing themselves in their beasts,  and others say that the animals could speak with a human voice when a skinchanger controlled them",1
but all the tales agree that the most common skinchangers were men who controlled wolves — even  direwolves — and these had a special name among the wildlings: wargs,1
legend further holds that the greenseers could also delve into the past and see far into the future,1
"but as all our learning has shown us, the higher mysteries that claim this power also claim that their  visions of the things to come are unclear and often misleading — a useful thing to say when seeking to  fool the unwary with fortune-telling",1
"though the children had arts of their own, the truth must always  be separated from superstition, and knowledge must be tested and made sure",1
"the higher mysteries,  the arts of magic, were and are beyond the boundaries of our mortal ability to examine",1
"though considered disreputable in this, our present day, a fragment of septon barth's  unnatural history has proved a source of controversy in the halls of the citadel",1
"claiming  to have consulted with texts said to be preserved at castle black, septon barth put forth  that the children of the forest could speak with ravens and could make them repeat their  words",1
"according to barth, this higher mystery was taught to the first men by the children  so that ravens could spread messages at a great distance",1
"it was passed, in degraded form,  down to the maesters today, who no longer know how to speak to the birds",1
it is true that  our order understands the speech of ravens ,1
"but this means the basic purposes of their  cawing and rasping, their signs of fear and anger, and the means by which they display their  readiness to mate or their lack of health",1
"ravens are amongst the cleverest of birds, but they are no wiser than infant children, and  considerably less capable of true speech, whatever septon barth might have believed",1
"a  few maesters, devoted to the link of valyrian steel, have argued that barth was correct, but  not a one has been able to prove his claims regarding speech between men and ravens",1
"yet no matter the truths of their arts, the children were led by their greenseers, and there is no  doubt that they could once be found from the lands of always winter to the shores of the summer  sea",1
"they made their homes simply, constructing no holdfasts or castles or cities",1
"instead they resided  in the woods, in crannogs, in bogs and marshes, and even in caverns and hollow hills",1
"it is said that,  in the woods, they made shelters of leaves and withes up in the branches of trees — secret tree  towns   it has long been held that they did this for protection from predators such as direwolves or    shadowcats, which their simple stone weapons — and even their vaunted greenseers — were not proof  against",1
"but other sources dispute this, stating that their greatest foes were the giants, as hinted at in  tales told in the north, and as possibly proved by maester kennet in the study of a barrow near the  long lake — a giant's burial with obsidian arrowheads found amidst the extant ribs",1
"it brings to mind  a transcription of a wildling song in maester herryk's history of the kings -beyond-the- wall,  regarding the brothers gendel and gorne",1
