Sentences,Label
"finnian, the abbott of moville, went southwards and eastwards in great haste",1
"news had come to him in donegal that there were yet people in his own province who believed in gods that he did not approve of, and the gods that we do not approve of are treated scurvily, even by saintly men",1
he was told of a powerful gentleman who observed neither saint's day nor sunday,1
a powerful person said finnian,1
"all that, was the reply",1
"we shall try this person's power, said finnian",1
"he is reputed to be a wise and hardy man, said his informant",1
"we shall test his wisdom and his hardihood  he is, that gossip whispered--he is a magician  i will magician him, cried finnian angrily",1
"where does that man live  he was informed, and he proceeded to that direction without delay",1
"in no great time he came to the stronghold of the gentleman who followed ancient ways, and he demanded admittance in order that he might preach and prove the new god, and exorcise and terrify and banish even the memory of the old one; for to a god grown old time is as ruthless as to a beggarman grown old",1
but the ulster gentleman refused finnian admittance,1
"he barricaded his house, he shuttered his windows, and in a gloom of indignation and protest he continued the practices of ten thousand years, and would not hearken to finnian calling at the window or to time knocking at his door",1
but of those adversaries it was the first he redoubted,1
finnian loomed on him as a portent and a terror; but he had no fear of time,1
"indeed he was the foster-brother of time, and so disdainful of the bitter god that he did not even disdain him; he leaped over the scythe, he dodged under it, and the sole occasions on which time laughs is when he chances on tuan, the son of cairill, the son of muredac red-neck",1
"he fasted on the gentleman, and he did so to such purpose that he was admitted to the house; for to an hospitable heart the idea that a stranger may expire on your doorstep from sheer famine cannot be tolerated",1
"the gentleman, however, did not give in without a struggle: he thought that when finnian had grown sufficiently hungry he would lift the siege and take himself off to some place where he might get food",1
but he did not know finnian,1
"the great abbot sat down on a spot just beyond the door, and composed himself to all that might follow from his action",1
"he bent his gaze on the ground between his feet, and entered into a meditation from which he would only be released by admission or death",1
the first day passed quietly,1
"often the gentleman would send a servitor to spy if that deserter of the gods was still before his door, and each time the servant replied that he was still there",1
"he will be gone in the morning, said the hopeful master",1
"on the morrow the state of siege continued, and through that day the servants were sent many times to observe through spy-holes",1
"go, he would say, and find out if the worshipper of new gods has taken himself away  but the servants returned each time with the same information",1
"the new druid is still there, they said",1
all through that day no one could leave the stronghold,1
"and the enforced seclusion wrought on the minds of the servants, while the cessation of all work banded them together in small groups that whispered and discussed and disputed",1
"then these groups would disperse to peep through the spy-hole at the patient, immobile figure seated before the door, wrapped in a meditation that was timeless and unconcerned",1
"they took fright at the spectacle, and once or twice a woman screamed hysterically, and was bundled away with a companion's hand clapped on her mouth, so that the ear of their master should not be affronted",1
"he has his own troubles, they said",1
it is a combat of the gods that is taking place  so much for the women; but the men also were uneasy,1
"they prowled up and down, tramping from the spy-hole to the kitchen, and from the kitchen to the turreted roof",1
"and from the roof they would look down on the motionless figure below, and speculate on many things, including the staunchness of man, the qualities of their master, and even the possibility that the new gods might be as powerful as the old",1
from these peepings and discussions they would return languid and discouraged,1
"if, said one irritable guard, if we buzzed a spear at the persistent stranger, or if one slung at him with a jagged pebble  what his master demanded wrathfully, is a spear to be thrown at an unarmed stranger",1
and from this house and he soundly cuffed that indelicate servant,1
"be at peace all of you, he said, for hunger has a whip, and he will drive the stranger away in the night  the household retired to wretched beds; but for the master of the house there was no sleep",1
"he marched his halls all night, going often to the spy-hole to see if that shadow was still sitting in the shade, and pacing thence, tormented, preoccupied, refusing even the nose of his favourite dog as it pressed lovingly into his closed palm",1
on the morrow he gave in,1
"the great door was swung wide, and two of his servants carried finnian into the house, for the saint could no longer walk or stand upright by reason of the hunger and exposure to which he had submitted",1
"but his frame was tough as the unconquerable spirit that dwelt within it, and in no long time he was ready for whatever might come of dispute or anathema",1
"being quite re-established he undertook the conversion of the master of the house, and the siege he laid against that notable intelligence was long spoken of among those who are interested in such things",1
"he had beaten the disease of mugain; he had beaten his own pupil the great colm cille; he beat tuan also, and just as the latter's door had opened to the persistent stranger, so his heart opened, and finnian marched there to do the will of god, and his own will",1
but man works outwardly and inwardly,1
"after rest he has energy, after energy he needs repose; so, when we have given instruction for a time, we need instruction, and must receive it or the spirit faints and wisdom herself grows bitter",1
"therefore finnian said: tell me now about yourself, dear heart  but tuan was avid of information about the true god",1
"no, no, he said, the past has nothing more of interest for me, and i do not wish anything to come between my soul and its instruction; continue to teach me, dear friend and saintly father  i will do that, finnian replied, but i must first meditate deeply on you, and must know you well",1
"tell me your past, my beloved, for a man is his past, and is to be known by it  but tuan pleaded: let the past be content with itself, for man needs forgetfulness as well as memory  my son, said finnian, all that has ever been done has been done for the glory of god, and to confess our good and evil deeds is part of instruction; for the soul must recall its acts and abide by them, or renounce them by confession and penitence",1
"tell me your genealogy first, and by what descent you occupy these lands and stronghold, and then i will examine your acts and your conscience  tuan replied obediently: i am known as tuan, son of cairill, son of muredac red-neck, and these are the hereditary lands of my father  the saint nodded",1
"i am not as well acquainted with ulster genealogies as i should be, yet i know something of them",1
"i am by blood a leinsterman, he continued",1
"mine is a long pedigree, tuan murmured",1
finnian received that information with respect and interest,1
"i also, he said, have an honourable record  his host continued: i am indeed tuan, the son of starn, the son of sera, who was brother to partholon  but, said finnian in bewilderment, there is an error here, for you have recited two different genealogies  different genealogies, indeed, replied tuan thoughtfully, but they are my genealogies  i do not understand this, finnian declared roundly",1
"i am now known as tuan mac cairill, the other replied, but in the days of old i was known as tuan mac starn, mac sera  the brother of partholon, the saint gasped",1
"that is my pedigree, tuan said",1
"but, finnian objected in bewilderment, partholon came to ireland not long after the flood  i came with him, said tuan mildly",1
"the saint pushed his chair back hastily, and sat staring at his host, and as he stared the blood grew chill in his veins, and his hair crept along his scalp and stood on end",1
"he thought on the might of god and he became that might, and was tranquil",1
"he was one who loved god and ireland, and to the person who could instruct him in these great themes he gave all the interest of his mind and the sympathy of his heart",1
"it is a wonder you tell me, my beloved, he said",1
and now you must tell me more  what must i tell asked tuan resignedly,1
"tell me of the beginning of time in ireland, and of the bearing of partholon, the son of noah's son  i have almost forgotten him, said tuan",1
"a greatly bearded, greatly shouldered man he was",1
"a man of sweet deeds and sweet ways  continue, my love, said finnian",1
he came to ireland in a ship,1
twenty-four men and twenty-four women came with him,1
"but before that time no man had come to ireland, and in the western parts of the world no human being lived or moved",1
as we drew on ireland from the sea the country seemed like an unending forest,1
"far as the eye could reach, and in whatever direction, there were trees; and from these there came the unceasing singing of birds",1
"over all that land the sun shone warm and beautiful, so that to our sea-weary eyes, our wind-tormented ears, it seemed as if we were driving on paradise",1
we landed and we heard the rumble of water going gloomily through the darkness of the forest,1
"following the water we came to a glade where the sun shone and where the earth was warmed, and there partholon rested with his twenty-four couples, and made a city and a livelihood",1
"there were fish in the rivers of eire', there were animals in her coverts",1
wild and shy and monstrous creatures ranged in her plains and forests,1
creatures that one could see through and walk through,1
"long we lived in ease, and we saw new animals grow,--the bear, the wolf, the badger, the deer, and the boar",1
"partholon's people increased until from twenty-four couples there came five thousand people, who lived in amity and contentment although they had no wits  they had no wits finnian commented",1
"they had no need of wits, tuan said",1
"i have heard that the first-born were mindless, said finnian",1
"continue your story, my beloved  then, sudden as a rising wind, between one night and a morning, there came a sickness that bloated the stomach and purpled the skin, and on the seventh day all of the race of partholon were dead, save one man only there always escapes one man, said finnian thoughtfully",1
"and i am that man, his companion affirmed",1
"tuan shaded his brow with his hand, and he remembered backwards through incredible ages to the beginning of the world and the first days of eire'",1
"and finnian, with his blood again running chill and his scalp crawling uneasily, stared backwards with him",1
i was so alone that my own shadow frightened me,1
"i was so alone that the sound of a bird in flight, or the creaking of a dew-drenched bough, whipped me to cover as a rabbit is scared to his burrow",1
the creatures of the forest scented me and knew i was alone,1
